,Title,published_date,Views,Likes,comments,Published_date,Comments,Month
0,How to Survive a Down Data Job Market,2023-09-05T10:50:39Z,13337,426,61,2023-09-05,61,Sep
1,The Harsh Reality of the Data Job Market,2023-08-24T11:30:19Z,97444,2394,280,2023-08-24,280,Aug
2,7 Industries AI will Aggressively Disrupt,2023-08-14T11:30:19Z,5217,220,43,2023-08-14,43,Aug
3,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07T17:57:05Z,3626,119,48,2023-08-07,48,Aug
4,7 Enticing Jobs AI Will Create,2023-07-24T12:00:01Z,4237,187,36,2023-07-24,36,Jul
5,The ChatGPT Code Interpreter is OVERRATED,2023-07-22T09:42:29Z,3849,137,31,2023-07-22,31,Jul
6,Exciting Announcement!,2023-06-23T17:28:36Z,6452,290,50,2023-06-23,50,Jun
7,AI: A Customer Service Revolution?,2023-05-26T12:00:21Z,3644,116,35,2023-05-26,35,May
8,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16T12:00:25Z,22606,798,56,2023-05-16,56,May
9,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04T12:04:56Z,30123,1284,77,2023-05-04,77,May
10,This AI question will determine our future,2023-04-06T13:00:32Z,4180,262,37,2023-04-06,37,Apr
11,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03T13:00:27Z,70467,822,79,2023-04-03,79,Apr
12,Your current portfolio is actually hurting you #shorts,2023-03-30T13:00:37Z,6035,362,7,2023-03-30,7,Mar
13,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27T13:00:41Z,6209,342,3,2023-03-27,3,Mar
14,you're job searching wrong. #shorts,2023-03-23T13:00:35Z,3859,235,3,2023-03-23,3,Mar
15,The Economics of Data Roles #shorts,2023-03-21T13:00:15Z,7329,473,10,2023-03-21,10,Mar
16,Why your phone knows everything you say #shorts,2023-03-18T13:00:42Z,2637,120,7,2023-03-18,7,Mar
17,Read these for a successful career. #shorts,2023-03-16T01:19:35Z,2856,230,2,2023-03-16,2,Mar
18,Is Your Phone Actually Listening to You? #shorts,2023-03-09T13:00:01Z,2353,44,5,2023-03-09,5,Mar
19,How I Realized I Was a Bad Manager #shorts,2023-03-07T13:00:11Z,2526,119,1,2023-03-07,1,Mar
20,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03T13:00:07Z,19698,745,52,2023-03-03,52,Mar
21,Why I Quit Data Science... and then crawled back #shorts,2023-03-01T13:00:17Z,7504,256,12,2023-03-01,12,Mar
22,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27T13:00:32Z,2468,158,2,2023-02-27,2,Feb
23,Learning On the companies dime #shorts,2023-02-24T17:00:13Z,2997,171,1,2023-02-24,1,Feb
24,The Best Way to Transition to Data Science? #shorts,2023-02-21T17:13:47Z,3768,245,6,2023-02-21,6,Feb
25,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17T13:00:03Z,6410,375,6,2023-02-17,6,Feb
26,Don't Go into Data for the Money #shorts,2023-02-15T10:00:37Z,3650,216,12,2023-02-15,12,Feb
27,First Data Science Project? Watch This.,2023-02-13T13:00:36Z,6029,331,22,2023-02-13,22,Feb
28,How to Approach Applying for a Data Role #shorts,2023-02-08T13:00:39Z,3626,244,7,2023-02-08,7,Feb
29,The Hard Reality of Data Science Work #shorts,2023-02-06T19:35:25Z,12035,718,10,2023-02-06,10,Feb
30,How Much Money Does a Data Scientist Make? #shorts,2023-02-03T12:00:03Z,4393,183,6,2023-02-03,6,Feb
31,These 3 Things Make Data Science Special #shorts,2023-02-01T12:00:12Z,4072,321,6,2023-02-01,6,Feb
32,Will Data Science Be Automated? #shorts,2023-01-27T11:00:44Z,8163,373,8,2023-01-27,8,Jan
33,Is Data Science A Good Fit For You? #shorts,2023-01-25T11:00:05Z,4926,284,11,2023-01-25,11,Jan
34,5 Books I Wish I Read Earlier In My Career,2023-01-23T15:31:48Z,9053,511,50,2023-01-23,50,Jan
